"","id","lastpage","seffsab_1","seffsab_2","seffsab_20","seffsab_14","seffsab_6","seffsab_28","seffsab_48","seffsab_39","seffsab_46","seffsab_47","seffsab_4","seffsab_29","seffsab_44","seffsab_27","seffsab_43","seffsab_9"
"121","MA14MAL",30,4,3,4,3,4,3,4,4,4,4,3,4,4,4,3,4
"122","MA15GÜL",30,4,3,4,3,3,3,4,4,4,3,4,4,3,4,4,4
"123","MA17HEM",30,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4
"124","MA17JOK",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","MA19HEK",30,4,4,4,3,3,3,2,3,2,3,3,3,3,3,3,4
"126","MA21FRA",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","MA23JUL",30,3,3,3,2,2,3,2,3,3,4,3,3,4,3,4,4
"128","MA27NOL",30,4,4,4,3,3,3,1,2,3,4,3,3,4,4,3,4
"129","MA28HUH",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","MA28WIG",30,4,4,4,3,3,4,3,3,3,2,4,4,4,3,4,4
"131","MA31ALG",30,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3
"132","ME15NOR",30,4,4,4,3,4,4,3,4,4,3,4,3,4,4,4,4
"133","MI07ENL",30,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4
"134","ML03FVD",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","MO13HAH",30,4,4,4,2,4,4,2,3,4,4,4,3,4,4,2,4
"136","MO13HAL",30,4,3,4,3,3,2,3,3,3,3,3,4,4,4,3,4
"137","MO14THM",30,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,4
"138","MO21WOH",18,4,3,3,2,3,3,4,4,4,3,3,2,3,3,3,3
"139","RE12JOL",30,4,4,4,3,4,4,4,4,4,3,3,3,4,4,4,4
"140","RE14PEF",30,4,4,4,3,4,3,3,4,3,3,4,4,4,4,4,4
"141","RE19HEB",30,4,3,4,3,4,3,3,3,3,4,3,3,3,4,4,4
"142","RE21HAE",30,4,4,4,3,4,4,4,4,3,4,4,3,4,4,4,4
"143","RE25KAE",30,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4
"144","RI02HAP",30,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4
"145","RI07JUH",30,4,4,4,3,3,4,1,3,4,4,4,4,4,4,4,4
"146","RO04HAM",30,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4
"147","RO09JOH",30,4,3,4,4,3,3,3,3,4,3,4,3,3,3,3,3
"148","RO20GEW",30,3,3,4,3,4,4,3,3,3,3,3,4,4,4,4,4
"149","RO20OTT",30,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4
"150","RU06GUW",30,4,4,4,3,4,3,4,3,4,2,4,4,4,4,4,4
"151","SI01WOL",30,4,3,3,3,4,4,2,3,3,4,4,3,4,4,4,4
"152","SO07MAN",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","SU18EDB",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","SU28HIF",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","TH09BES",30,4,4,4,3,3,4,4,3,4,3,3,4,4,4,4,4
"156","UL03HAH",30,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4
"157","UL09ROL",30,4,3,4,2,3,4,4,4,3,3,3,3,4,3,3,4
"158","UL24HEL",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","UR03LOB",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","UR09FRW",30,4,4,4,3,4,3,4,4,4,4,4,3,4,4,3,4
"161","UR09GEW",30,4,4,4,3,4,4,4,3,3,2,3,4,4,4,4,4
"162","UR11MAG",30,4,3,4,3,4,4,3,3,3,4,3,2,4,4,4,4
